Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Index Keywords	Molecular Sequence Numbers	Chemicals/CAS	Tradenames	Manufacturers	Funding Details	References	Correspondence Address	Editors	Sponsors	Publisher	Conference name	Conference date	Conference location	Conference code	ISSN	ISBN	CODEN	DOI	PubMed ID	Language of Original Document	Abbreviated Source Title	Document Type	Source
Chappelow J.	London underground 1863-1913 a muddle or a miracle?	2013	Tunnels and Tunnelling International		SEP		20	24			http://www.scopus.com/inward/record.url?eid=2-s2.0-84884272029&partnerID=40&md5=705499a885232a9c2df5e301c097b82b		Chappelow, J.	Charles Pearson envisioned a plan that involved construction of a huge central station for the London City with underground railways connecting the main-line termini that were developing at the edge of the city. reformer. He wanted to make it easier for the poor of London to move out of their slums and travel easily and cheaply into London from new towns planned for locations such as Hornsey or Tottenham. The 1854-5 Commons Select Committee on Metropolitan Communications took a favorable view of Pearson's arguments and recommended the construction of an underground railway to connect the various termini with a central station at Farringdon. compensation. Financial backing for the Metropolitan Railway Company was slow to materialize. While the Great Western Railway was prepared to invest GBP 175,000 the Great Northern was more reluctant.		railway construction; railway transport; tunnel; underground construction; urban planning; England; London [England]; United Kingdom						Wolmar, C., The Subterranean Railway, , Atlantic Books; Bownes, D., Green, O., Mullins, S., Underground. How the Tube Shaped London; Dobbin, C., London Underground Maps. Art Design and Cartography; Barker, T.C., Robbins, M., A History of London Transport; Day, J., Reed, J., The Story of London's Underground; The Metropolitan Line the District Line the Northern Line and the Bakerloo Line, , MAC. Home; Croome, D.F., The Piccadilly Line; Bobrich, B., Labyrinths of Iron	Chappelow, J.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Greeman A.	Leaving a legacy	2013	Tunnels and Tunnelling International		SEP		45	49			http://www.scopus.com/inward/record.url?eid=2-s2.0-84884239029&partnerID=40&md5=80d5aa5c94f7f168f3e7c3faead23ece		Greeman, A.	TBMs were chosen for the twin drives of the 4.6km-long legacy tunnel in the Queensland capital of Brisbane. Not only are hard rock machines well suited to the sound igneous rock underneath the houses of the well-off western suburbs, but also because there were machines available in the city. The TBMs also happen to be the right size and capacity. Like the Clem 7, which opened in 2009, the Legacy tunnel will be a twin, two-lane motorway, running beneath and into the central part of the city, which has been growing more and more congested. The first, Clem 7, tunnel runs from the southern suburbs underneath the Brisbane river, and the new tunnel will bring in traffic from the west. The Transapex project, as it is called, has so far seen the building of the Clem 7 and the Y-shaped Airport Link into the northern suburbs and as the name suggests to the airport near the coast.		drilling; project assessment; suburban area; TBM; tunnel design; tunneling; Australia; Brisbane; Queensland							Greeman, A.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Moss N., Bowers K.	London underground 2013-facing the future	2013	Tunnels and Tunnelling International		SEP		38	41			http://www.scopus.com/inward/record.url?eid=2-s2.0-84884219772&partnerID=40&md5=56dbac2667261ff8d79a4c0f9bf8db5e		Moss, N.; Bowers, K.	The article discusses the need for improving underground infrastructure in London in light of the population that is projected to rise from 7.6 million in 2007 to around 10 million by 2030. The number of jobs in the city is projected to rise by approaching 20 per cent in the same period. The London Underground is the busiest it has ever been. In recent years annual passenger journey numbers have risen steadily reaching over 1.2bn in the 2012/2013 year. On a typical week day over 4M individual journeys are made. On Tuesday August 7, 2012 during the London Olympic Games a record peak of 4.57 million passengers used the Tube. Looking ahead current projections suggest annual journeys will reach 1.5bn by 2020. LU has committed to a program of line and station upgrades. The line upgrades deliver new signaling systems and in many cases also new trains, to increase capacity by pushing more trains through the existing infrastructure.		future prospect; infrastructural development; infrastructure planning; railway transport; transportation planning; travel behavior; England; London [England]; United Kingdom															0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Chappelow J.	London underground 1913-1963 war amd peace	2013	Tunnels and Tunnelling International		SEP		27	31			http://www.scopus.com/inward/record.url?eid=2-s2.0-84884260216&partnerID=40&md5=03b1bca93d71e7fe7bb6e6d6cb4f2461		Chappelow, J.	The London Underground was poised for growth at the start of the First World War in 1914. All but the Metropolitan were incorporated in the Underground Electric Railway Limited, which had been formed by the American tycoon, Charles Tyson Yerkes. The most serious danger in the First World War in London was bombing either by Zeppelins or planes. There were complaints about this as they interfered with the passengers. As the Underground was perceived as safer and with the additional numbers due to many troops moving around the capital, the use of the system increased dramatically during the war. People became more accustomed to using the underground. Eventually, it was decided that trains should proceed slowly during raids. The impact of the Second World Warfrom 1939 to 1945 on the London Underground was much more profound and dramatic. The war was not unexpected and plans for the emergency were made as early as 1937.		historical geography; metropolitan area; perception; railway transport; transportation history; transportation system; urban transport; war; England; London [England]; United Kingdom						Wolmar, C., The Subterranean Railway. Atlantic Books; Bownes, D., Green, O., Mullins, S., Underground. How the Tube Shaped London; Dobbin, C., London Underground Maps. Art Design and Cartography; Barker, T.C., Robbins, M., A History of London Transport; Day, J., Reed, J., The Story of London's Underground; The Metropolitan Line the District Line the Northern Line and the Bakerloo Line, , MAC. Home; Croome, D.F., The Piccadilly Line; Bobrich, B., Labyrinths of Iron; Jackson, A.A., London'sMetroland	Chappelow, J.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Conacher A.	London underground 1963-2013 funding gap	2013	Tunnels and Tunnelling International		SEP		33	36			http://www.scopus.com/inward/record.url?eid=2-s2.0-84884230948&partnerID=40&md5=2c2c0b0786f0c564ffc2087411b508d8		Conacher, A.	The article discusses how underground infrastructure faced neglect and underinvestment during 1963 and 2013. With the nationalization of Land Transport in 1948 it became a part of the behemoth that was the British Transport Commission (BTC). It was a period of state control of services, but this was an interesting step as it effectively renationalised a public sector entity. The Treasury effectively controlled the BTC. With a nation crying out for improvements to health, a need for electricity and major new house building projects; London's infrastructure needs were perhaps a secondary concern. BTC was abolished in 1963 in favor of direct ministerial control of the network. However, this didn't benefit the budget. Records show GBP 1.1M available for improvements annually. In 1970, LT became part of the iocai government body, Greater London Council (GLC). However, since the New Works Program of the 1930s, the Underground had languished through three decades of neglect.		infrastructural development; investment location; local government; project management; railway transport; transportation history; transportation infrastructure; transportation planning; England; London [England]; United Kingdom						Bownes, D., (2012) Underground: How the Tube Shaped London; Brux, S., (1996) London's Jubilee Line Extension; Gaffney, D., (2000) Funding London Underground: Financial Myths and Economic Realities; (2002) World Best Metro Practice - Meilleur Metro Mondiale: Papers from a Conference at the ICE, , ICE Transport Board, London; (1994) Jubilee Line Extension: NATM Particular Specification, , London Underground Ltd; Mitchell, B., (2003) Jubilee Line Extension: Concept to Eompletion; (1995) Jubilee Line Extension Project: Archaeological Excavations in Westminster, , Museum of London Archaeology Service; (2004) London Underground PPP: Were They Good deals?, , National Audit Office; Jubilee Line Extension: NCE Supplements, Feb. 1994, Sep. 1996 and Oct. 1999, pp. 94-99. , NCE; (1990) 2nd Report: LU's Financial Deficit, , Parliament: Commons Transport Committee; (1991) London Underground (Victoria) Act 1991, , Parliament; Powell, K., (2000) The Jubilee Line Extension; Schabas, M., (1994) Burnt Offering: Jubilee Line Extension; Times, T., (1985) Going Ahead on the Victoria Line: Special Report on the ICE	Conacher, A.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Gale R.	Breathing tunnels	2013	Tunnels and Tunnelling International		AUG		35	39			http://www.scopus.com/inward/record.url?eid=2-s2.0-84882958344&partnerID=40&md5=4ff61f5e0f3a7b32ef741bb96e84421a		Gale, R.	The article discusses making road tunnel environments safe through effective filtration. The original tunnels built were done so for the task of overcoming geological problems namely rivers and mountains. Now they are also used to overcome manmade obstacles, cities. The vehicular traffic has increased to such a degree that to travel through a city by car takes as long in the 21st century as it did in the 19th century. The energy requirement increases so when the fan is sized for the system the fan must be able to still collect dust when the bag is full and requires changing. Electrostatic precipitators have changed over the years. The original precipitators had wires in the ionizing section to generate the corona discharge which is necessary for the precipitator to work. The problem with using wires was that they could break due to the high voltage vibrating the wires and electro-discharge machining.		safety; tunnel design; tunneling; underground construction							Gale, R.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Williams L.	Cutting the silk road	2013	Tunnels and Tunnelling International		AUG		30	33			http://www.scopus.com/inward/record.url?eid=2-s2.0-84883043092&partnerID=40&md5=639edfaf6ba0e759256215a46274b1d7		Williams, L.	The drilling units actually driving the tunnel are two Sandvik DD320-40 twin boom drill rigs mounting HLX5 drifters. One drills from the south end of the tunnel and the other from the north. These drive the 10m high by 12.3m wide tunnel by first drilling and blasting a top heading, leaving a 3.5m bench which is then mined out after the top heading is mucked out. A design advance rate of 4m per round was given, though realized rate has been 3.75m on average. Mucking out is with a Cat 966 wheel loader tipping into contractor-owned 30t on highway trucks. The muck is delivered to stockpiles near the site which may be used for road stone by the Turkish Roads Authority. The current schedule calls for one 4m round to be drilled, blasted and mucked out per shift, with two working shifts per day.		blasting; drilling; tunnel design; tunneling; underground construction; Turkey							Williams, L.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Pospisil P.	In the smoke	2013	Tunnels and Tunnelling International		AUG		41	42			http://www.scopus.com/inward/record.url?eid=2-s2.0-84882963806&partnerID=40&md5=b9287ec4a191205ce571c691fe00b122	Tunnelventilation.pro, Switzerland	Pospisil, P., Tunnelventilation.pro, Switzerland	Petr Pospisil of consultancy Tunnelventilation.pro gives this reflection on the realities of a fire in a tunnel, and the disorientating effects that can still be in effect despite ventilation. The Branisko tunnel is a 5km long road tunnel with bidirectional traffic in Eastern Slovakia, which was opened in 2003. An escape tunnel is situated parallel to the road tunnel. The tunnel is equipped with a semi transversal ventilation system with smoke extraction dampers, which was designed in the 1990s. The first test was a success. Although the smoke extraction capacity was not sufficient, due to high duct leakages, the fire ventilation system was able to limit the spread of smoke and finally to remove the fumes from the tunnel. However, the safety issue is more complicated in tunnels with bidirectional traffic or in unidirectional city tunnels, where congestions are supposed to happen and people may be trapped on both sides of the fire location.		safety; tunnel design; tunneling; ventilation; Slovakia							Pospisil, P.; Tunnelventilation.proSwitzerland								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Ballantyne B.	Qatari coup	2013	Tunnels and Tunnelling International		AUG		26	29			http://www.scopus.com/inward/record.url?eid=2-s2.0-84883022847&partnerID=40&md5=24932cdde150f487ea8211a2c04f059a		Ballantyne, B.	Qatar is preparing to set new records in tunneling with 26 TBMs simultaneously boring 59km of twin bore tunnels creating the first phase of the vital Doha Metro. The metro project is a key element of the Qatar Rail Development Program, which also includes a 400km heavy rail link that will connect the country with the wider GCC railway, and a 38km light rail network around Lusail City to the north of Doha. After a huge international procurement program that saw Qatar Railways present its scheme all over the world, the first major design and build tunneling contracts were awarded in late May 2013. Qatari companies are included in all of the consortia, which was a requirement from early bidding stages. The second contract is for the southern section of the red line running from Doha south to the Sheikh Hamad international Airport. it is slightly longer that the northern section with 13.8km of twin bore, and also includes a 1.2km single operational link.		railway transport; transportation development; transportation planning; tunnel design; tunneling; Doha; Qatar							Ballantyne, B.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Erskine T.	Perfect fit for Toronto	2013	Tunnels and Tunnelling International		JULY 2013		27	29			http://www.scopus.com/inward/record.url?eid=2-s2.0-84880441627&partnerID=40&md5=a0e8e5085229da993b9b2835a68e13cf	Lvely School of Business, United States	Erskine, T., Lvely School of Business, United States	Munro has expanded its manufacturing facility and process to supply the thousands of segments that will line Toronto's newest light rail project. It is all for the new Eglinton Scarborough Crosstown LRT (ECLRT), a cornerstone of the City of Toronto's transit infrastructure upgrade. Contract ECLM6-2 Supply of Precast Concrete Tunnel Lining Segments was released for bid to prequalified companies in late 2010. The manufacture of the tunnel lining segments was not part of the tunneling contract. Tunnel segment manufacturing was a single contract. Metrolinx chose to put the manufacturing in the hands of actual manufacturers in a complete reversal of the traditional approach. Historically in this business, tenders were released for contractors to bore the tunnel and supply the tunnel liners. So now, gone are the days of contractors having molds made and partnering with precasters or establishing a temporary facility to make the liners.		development project; infrastructural development; railway construction; tunnel design; tunnel lining; tunneling; Canada; Ontario [Canada]; Toronto							Erskine, T.; Lvely School of BusinessUnited States								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
