Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Index Keywords	Molecular Sequence Numbers	Chemicals/CAS	Tradenames	Manufacturers	Funding Details	References	Correspondence Address	Editors	Sponsors	Publisher	Conference name	Conference date	Conference location	Conference code	ISSN	ISBN	CODEN	DOI	PubMed ID	Language of Original Document	Abbreviated Source Title	Document Type	Source
Noda T., Xu B., Asaoka A.	Acceleration generation due to strain localization of saturated clay specimen based on dynamic soil-water coupled finite deformation analysis	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884756027&partnerID=40&md5=a290335889bb6bcb0d4badee8401f947	Department of Civil Engineering, Nagoya University, Nagoya, Japan; Association for the Development of Earthquake Prediction, Tokyo, Japan	Noda, T., Department of Civil Engineering, Nagoya University, Nagoya, Japan; Xu, B., Department of Civil Engineering, Nagoya University, Nagoya, Japan; Asaoka, A., Association for the Development of Earthquake Prediction, Tokyo, Japan	In the conventional bifurcation and strain localization analyses of geomaterials, the inertia forces are generally ignored, based on the quasi-static equilibrium equation. Even though a great deal of literature exists on dynamic strain localization analyses, information on acceleration generation during the formation of shear bands has not been emphasized. Inspired by the acoustic emission phenomenon in laboratory tests and the seismic acceleration related to the slippage of faults, a dynamic soil-water coupled strain localization analysis is performed in the present paper on a saturated rectangular clay specimen subjected to constant cell pressure under plane strain conditions, employing the SYS Cam-clay model as the elasto-plastic constitutive model for the soil skeleton. An initial geometrical imperfection was introduced to the specimen to trigger one single shear band, and the following results were found: (1) Two types of oscillation occurred within the specimen during acceleration when the specimen was subjected to compression deformation at a constant rate, namely, (a) one caused by the sudden external compression and (b) the second induced by the formation of strain localization/a shear band. With the occurrence of the shear band, if, for example, the vertical rate was equivalent to about 10 cm/s, the accelerations that occurred within the specimen were in the order of several thousand gal, which is similar to those measured during earthquakes; (2) The effects of the time increment, the mesh division, the initial confining pressure, the OCR and the stress-control loading on the generated acceleration in (b) were investigated in detail. It was found that under stress control, even though the formation of the shear band was similar to that under displacement control, the induced acceleration behaved quite differently. © 2013 Japanese Geotechnical Society.	Acceleration generation; Dynamic analysis; IGC: D07, E08; Shear band; Soil-water coupled effect								Xu, B.; Department of Civil Engineering, Nagoya University, Nagoya, Japanemail: noda@nagoya-u.jp								00380806		SOIFB	10.1016/j.sandf.2013.08.004		English	Soils Found.	Article in Press	Scopus
Kwak C.W., Park I.J., Park J.B.	Evaluation of disturbance function for geosynthetic-soil interface considering chemical reactions based on cyclic direct shear tests	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884754831&partnerID=40&md5=52cb5da7e0315be9c5fe1eb03550c8d3	Department of Civil and Environmental Engineering, Seoul National University, Shinlim-Dong, Kwanak-Gu, Seoul 151-742, South Korea; Department of Civil Engineering, Hanseo University, 360 Daegok-Ri, Haemi-Myeon, Seosan-Si, Choongnam 356-706, South Korea	Kwak, C.W., Department of Civil and Environmental Engineering, Seoul National University, Shinlim-Dong, Kwanak-Gu, Seoul 151-742, South Korea; Park, I.J., Department of Civil Engineering, Hanseo University, 360 Daegok-Ri, Haemi-Myeon, Seosan-Si, Choongnam 356-706, South Korea; Park, J.B., Department of Civil and Environmental Engineering, Seoul National University, Shinlim-Dong, Kwanak-Gu, Seoul 151-742, South Korea	Various geosynthetics for reinforcement, protection and encapsulation are widely applied to civil structures and waste landfill sites. The use of geosynthetics inevitably involves the coupled behaviors of different materials which include large displacement and strain-softening behaviors, etc. Current research indicates that the behavior of geosynthetic-soil systems depend on the shear strength of the interface governed by several intrinsic and environmental factors, such as moisture, normal stress, chemical conditions, and thermal components, etc. In this study, the effects of acidity and basicity from leachate and waste are intensively considered in order to build up the chemical reaction mechanism of the shear strength of the interface under cyclic loading based on an experimental inspection. The Multi-Purpose Interface Apparatus (M-PIA) has been newly manufactured, and cyclic direct shear tests for submerged geosynthetic-soil specimens under different chemical conditions have been performed. A Focused Ion Beam (FIB) analysis has also been performed to induce the reason for the variation in the disturbance function and to verify the hypothesis on the decay-proof ability of geosynthetics. Consequently, a new approach to reflect the chemical effect of geosynthetics has been applied by suggesting the use of new disturbance function parameters in the Disturbed State Concept. The basic schematic of the Disturbed State Concept (DSC) constitutive model is employed; then, new disturbance function parameters are proposed to describe the chemical degradation of the geosynthetic-soil interface under dynamic conditions. Furthermore, based on the FIB results, it is be deduced that the variation in the disturbance function mainly results from the different types of decay in the soil minerals. © 2013 Japanese Geotechnical Society.	Chemical reaction; Cyclic direct shear tests; Disturbance function; DSC; FIB; Geosynthetics; Interface shear strength; M-PIA								Park, I.J.; Department of Civil Engineering, Hanseo University, 360 Daegok-Ri, Haemi-Myeon, Seosan-Si, Choongnamemail: geotech@hanseo.ac.kr								00380806		SOIFB	10.1016/j.sandf.2013.08.010		English	Soils Found.	Article in Press	Scopus
Jha S.K., Ching J.	Simplified reliability method for spatially variable undrained engineered slopes	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884680120&partnerID=40&md5=15d56fa7721c174650231b28bd43fada	Department of Civil Engineering, National Taiwan University, Taipei, Taiwan	Jha, S.K., Department of Civil Engineering, National Taiwan University, Taipei, Taiwan; Ching, J., Department of Civil Engineering, National Taiwan University, Taipei, Taiwan	A random finite element analysis (RFEA) is employed to study the effect of shear strength spatial variability on the stability of undrained engineered slopes. Based on the RFEA simulation results for 34 (idealized) real engineered slope cases, it is concluded that the coefficient of variation in the spatially variable shear strength and the ratio (vertical scale of fluctuation)/(length of failure curve) have a major effect on the stability reliability. The RFEA simulation results are further used to derive simplified equations for the reliability analysis and the reliability-based design of undrained engineered slopes. © 2013 Japanese Geotechnical Society.	Random finite element; Reliability; Scale of fluctuation; Slope stability; Spatial variability								Ching, J.; Department of Civil Engineering, National Taiwan University, Taipei, Taiwanemail: jyching@gmail.com								00380806		SOIFB	10.1016/j.sandf.2013.08.008		English	Soils Found.	Article in Press	Scopus
Gu X., Yang J., Huang M.	Laboratory measurements of small strain properties of dry sands by bender element	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884679794&partnerID=40&md5=4bfe03d226acde6b671d54900a45fc77	Department of Geotechnical Engineering and Key Laboratory of Geotechnical and Underground Engineering of the Ministry of Education, Tongji University, Shanghai 200092, China; Department of Civil Engineering, The University of Hong Kong, Pokfulam, Hong Kong, China	Gu, X., Department of Geotechnical Engineering and Key Laboratory of Geotechnical and Underground Engineering of the Ministry of Education, Tongji University, Shanghai 200092, China; Yang, J., Department of Civil Engineering, The University of Hong Kong, Pokfulam, Hong Kong, China; Huang, M., Department of Geotechnical Engineering and Key Laboratory of Geotechnical and Underground Engineering of the Ministry of Education, Tongji University, Shanghai 200092, China	The S-wave and P-wave velocities in dry sands are simultaneously measured by a single pair of bender elements (BE) incorporated into a standard resonant column (RC) apparatus with a torsional shear (TS) function. The small strain properties, including shear modulus G0, constrained modulus M0 and Poisson's ratio υ, are determined for specimens at various densities and confining pressures. The results show that the G0 values obtained from the BE tests agree well with those from RC and TS tests, indicating the reliability of the signal interpretation and the testing system. Furthermore, the G0 data of the present test series is in good agreement with the data from the literature. The results also show that G0 increases faster than M0 as the soil density and the confining pressure increase. In terms of Poisson's ratio, it decreases with an increasing soil density and confining pressure and generally lies in the range of 0.18-0.32 for the tested sands. Empirical equations are established to approximately estimate Poisson's ratio from the measured G0 or M0 values. © 2013 Japanese Geotechnical Society.	Bender element; Laboratory test; Modulus; Poisson's ratio; Resonant column; Sand; Wave velocity								Gu, X.; Department of Geotechnical Engineering and Key Laboratory of Geotechnical and Underground Engineerinemail: gxq1981@gmail.com								00380806		SOIFB	10.1016/j.sandf.2013.08.011		English	Soils Found.	Article in Press	Scopus
Iskander M., Chen Z., Omidvar M., Guzman I., Elsherif O.	Active static and seismic earth pressure for c-φ soils	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884506711&partnerID=40&md5=2defbe8fd70bb6e2a2d349f212bce126	Polytechnic Institute of New York University, USA	Iskander, M., Polytechnic Institute of New York University, USA; Chen, Z., Polytechnic Institute of New York University, USA; Omidvar, M., Polytechnic Institute of New York University, USA; Guzman, I., Polytechnic Institute of New York University, USA; Elsherif, O., Polytechnic Institute of New York University, USA	Rankine classic earth pressure solution has been expanded to predict the seismic active earth pressure behind rigid walls supporting c-φ backfill considering both wall inclination and backfill slope. The proposed formulation is based on Rankine's conjugate stress concept, without employing any additional assumptions. The developed expressions can be used for the static and pseudo-static seismic analyses of c-φ backfill. The results based on the proposed formulations are found to be identical to those computed with the Mononobe-Okabe method for cohesionless soils, provided the same wall friction angle is employed. For c-φ soils, the formulation yields comparable results to available solutions for cases where a comparison is feasible. Design charts are presented for calculating the net active horizontal thrust behind a rigid wall for a variety of horizontal pseudo-static accelerations, values of cohesion, soil internal friction angles, wall inclinations, and backfill slope combinations. The effects of the vertical pseudo-static acceleration on the active earth pressure and the depth of tension cracks have also been explored. In addition, examples are provided to illustrate the application of the proposed method. © 2013 Japanese Geotechnical Society.	Limit state analysis; Mononabe-Okabe method; Rankine; Retaining wall; Seismic								Iskander, M.; Polytechnic Institute of New York University, USAemail: Iskander@poly.edu								00380806		SOIFB	10.1016/j.sandf.2013.08.003		English	Soils Found.	Article in Press	Scopus
Yoneda J., Hyodo M., Yoshimoto N., Nakata Y., Kato A.	Development of high-pressure low-temperature plane strain testing apparatus for methane hydrate-bearing sand	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884528056&partnerID=40&md5=603fc67b5792fef7355dec82797121ba	The National Institute of Advanced Industrial Science and Technology (AIST), Japan; Graduate School of Science and Engineering, Yamaguchi University, Japan	Yoneda, J., The National Institute of Advanced Industrial Science and Technology (AIST), Japan; Hyodo, M., Graduate School of Science and Engineering, Yamaguchi University, Japan; Yoshimoto, N., Graduate School of Science and Engineering, Yamaguchi University, Japan; Nakata, Y., Graduate School of Science and Engineering, Yamaguchi University, Japan; Kato, A., Graduate School of Science and Engineering, Yamaguchi University, Japan	A high-pressure low-temperature plane strain testing apparatus was developed for visualizing the deformation of methane hydrate-bearing sand due to methane hydrate production. Using this testing apparatus, plane strain compression tests were performed on pure Toyoura sand and methane hydrate-bearing sand with localized deformation measurements. From the results, it was observed that the methane hydrate-free specimens, despite their relatively high density, showed changes in compressive volume. Marked increases in the initial stiffness and strength of the methane hydrate-bearing sand were observed (methane hydrate saturation of SMH =60%). Moreover, the volumetric strain changed from compressive to dilative. For the specimens with methane hydrate, a dilative behavior above SMH =0% was observed. An image analysis showed that the shear bands of the methane hydrate-bearing sand were thinner and steeper than those of the host sand. In addition, the dilative volumetric strain in the shear band increased markedly when methane hydrate existed in the pore spaces. © 2013 Japanese Geotechnical Society.	Compression; Deformation; Depressurization; Localization; Methane hydrate; Plane strain								Yoneda, J.; The National Institute of Advanced Industrial Science and Technology (AIST), Japanemail: jun.yoneda@aist.go.jp								00380806		SOIFB	10.1016/j.sandf.2013.08.014		English	Soils Found.	Article in Press	Scopus
Senetakis K., Coop M.R., Todisco M.C.	The inter-particle coefficient of friction at the contacts of Leighton Buzzard sand quartz minerals	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884506624&partnerID=40&md5=2a71c094335f44cb10771de9e80d8dbe	Department of Civil and Architectural Engineering, City University of Hong Kong, Kowloon Tong, Kowloon, Hong Kong	Senetakis, K., Department of Civil and Architectural Engineering, City University of Hong Kong, Kowloon Tong, Kowloon, Hong Kong; Coop, M.R., Department of Civil and Architectural Engineering, City University of Hong Kong, Kowloon Tong, Kowloon, Hong Kong; Todisco, M.C., Department of Civil and Architectural Engineering, City University of Hong Kong, Kowloon Tong, Kowloon, Hong Kong	A series of micro-mechanical tests was carried out in order to investigate the inter-particle coefficient of friction at the contacts of quartz minerals of Leighton Buzzard sand. For this purpose, a custom-built inter-particle loading apparatus was designed and constructed, the main features of which are described briefly in this paper. This apparatus is capable of performing shearing tests at the contacts of soil minerals of a particle-particle type in the range of very small displacements, from less than 1 μm to about 300 μm, and very small normal loads, between about less than 1 N and 15 N. The laboratory data showed that the effects of the normal force and the sliding velocity on the coefficient of dynamic friction are not significant, while dry and saturated surfaces had similar frictional characteristics. The steady state sliding was mobilized within a range of 0.5-3.0 μm of horizontal displacement, and the coefficient of static friction was very similar to the corresponding coefficient during constant shearing. Repeating the inter-particle shearing tests on the same particles and following the same shearing track indicated a small reduction in the inter-particle coefficient of friction after the first shearing, which is possibly related to plastic deformation and damage to the asperities. © 2013 Japanese Geotechnical Society.									Senetakis, K.; Department of Civil and Architectural Engineering, City University of Hong Kong, Kowloon Tong, Kowloemail: ksenetak@cityu.edu.hk								00380806		SOIFB	10.1016/j.sandf.2013.08.012		English	Soils Found.	Article in Press	Scopus
Shipton B., Coop M.R.	On the compression behaviour of reconstituted soils by B. Shipton and M.R. Coop [Soils and Foundations 52 (4) (2012) 668-681]	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884517211&partnerID=40&md5=fbc71cfb8da0b20b79a6b1ceaf6ed757	Arup Geotechnics, Ove Arup and Partners, 13 Fitzroy Street, London W1T4BQ, United Kingdom; City University of Hong Kong, Hong Kong	Shipton, B., Arup Geotechnics, Ove Arup and Partners, 13 Fitzroy Street, London W1T4BQ, United Kingdom; Coop, M.R., City University of Hong Kong, Hong Kong	[No abstract available]									Shipton, B.; Arup Geotechnics, Ove Arup and Partners, 13 Fitzroy Street, London W1T4BQ, United Kingdomemail: barbara.shipton@arup.com								00380806		SOIFB	10.1016/j.sandf.2013.09.001		English	Soils Found.	Article in Press	Scopus
Cetin H., Gokoglu A.	Soil structure changes during drained and undrained triaxial shear of a clayey soil	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884493288&partnerID=40&md5=f32cc1e638b44f965916e4b6f74775b7	Çukurova University, Department of Geology, Balcali-Adana, Turkey; Çukurova University, Ceyhan Vocational School, Construction Technology Program, Ceyhan-Adana, Turkey	Cetin, H., Çukurova University, Department of Geology, Balcali-Adana, Turkey; Gökoǧlu, A., Çukurova University, Ceyhan Vocational School, Construction Technology Program, Ceyhan-Adana, Turkey	Orientations during drained and undrained triaxial shear tests on an artificially made clayey soil were studied. The results show that the orientation pattern before shearing is nearly random, although there may be some degree of preferred orientation caused by the overburden pressure. Becoming higher towards the failure plane, the degree of preferred orientation sharply increases in both tests as the compression increases until failure. It was discovered that in the consolidated undrained tests, failure occurs at higher levels of strain than previously believed, while in the consolidated drained tests, failure occurs at much lower levels of strain than previously believed. The results indicate the formation of a wider deformation zone towards and at failure in the drained tests. This is probably because particles in the drained tests have enough time to respond to the applied shear stress and change their orientation accordingly. This may explain the formation of wider deformation zones along creeping (aseismic) faults and narrow zones along seismic faults whose mechanisms are analogous to the drained and undrained tests, respectively. © 2013 Japanese Geotechnical Society.	Aseismic; Preferred orientation; Seismic; Soil fabric; Soil structure; Triaxial shear test								Cetin, H.; Çukurova University, Department of Geology, Balcali-Adana, Turkeyemail: cetinh@cu.edu.tr								00380806		SOIFB	10.1016/j.sandf.2013.08.002		English	Soils Found.	Article in Press	Scopus
Rangari S.M., Choudhury D., Dewaikar D.M.	Seismic uplift capacity of shallow horizontal strip anchor under oblique load using pseudo-dynamic approach	2013	Soils and Foundations								http://www.scopus.com/inward/record.url?eid=2-s2.0-84884361399&partnerID=40&md5=6092cc2e347418299710c20e2795642c	Department of Civil Engineering, Indian Institute of Technology (IIT) Bombay, Powai, Mumbai 400076, India	Rangari, S.M., Department of Civil Engineering, Indian Institute of Technology (IIT) Bombay, Powai, Mumbai 400076, India; Choudhury, D., Department of Civil Engineering, Indian Institute of Technology (IIT) Bombay, Powai, Mumbai 400076, India; Dewaikar, D.M., Department of Civil Engineering, Indian Institute of Technology (IIT) Bombay, Powai, Mumbai 400076, India	In this paper, an analytical method to compute the uplift capacity of an obliquely loaded horizontal strip anchor under both static and seismic conditions is described using the limit equilibrium method. The distribution of the soil reactions on a simple planar failure surface is obtained through the use of Kötter's equation, and the pseudo-dynamic approach is used to obtain the net seismic vertical uplift capacity factor for the unit weight component of the soil (Fγd ). The results for the static and seismic vertical uplift capacity factors are determined for various combinations of input parameters, such as the load inclination, the soil friction angle, the embedment ratio, the soil amplification and both horizontal and vertical pseudo-dynamic seismic accelerations. It is observed that the orientation of the load significantly affects the seismic uplift capacity of the horizontal strip anchor. Fγd is seen to decrease with an increase in both horizontal and vertical seismic accelerations and soil amplification, whereas it is seen to increase with an increase in the embedment ratio and the soil friction angle, as expected. The results in terms of the non-dimensional net seismic uplift capacity factor are presented in graphical and tabular forms. The present results are compared and found to be in good agreement with similar results available in literature. © 2013 Japanese Geotechnical Society.	Closed-form analytical solution; Horizontal strip anchor; Kötter's equation; Limit equilibrium method; Oblique load; Pseudo-dynamic approach; Seismic uplift capacity; Soil amplification								Choudhury, D.; Department of Civil Engineering, Indian Institute of Technology (IIT) Bombay, Powai, Mumbai 400076,email: dc@civil.iitb.ac.in								00380806		SOIFB	10.1016/j.sandf.2013.08.007		English	Soils Found.	Article in Press	Scopus
